# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

# Language (id,label)
	LANGUAGE=korean,한국어
	ICON=Icons/korean.png
	ORDER=80

# Font (Face, Base Size)
# Use BMFONT to generate the .fnt and image files
	FONT=RenogareKR,62

# Done loading Meta Data
	BEGIN=true

# Auto-Saving
	AUTOSAVING_TITLE_NS=
		이 게임은 자동 저장 기능을 지원합니다.
	AUTOSAVING_DESC_NS=
		이 아이콘이 표시되면
		콘솔 전원을 끄지 마세요.
	AUTOSAVING_TITLE_PS4=
		이 게임은 자동 저장 기능을 지원합니다.
	AUTOSAVING_DESC_PS4=
		이 아이콘이 표시되면
		콘솔 전원을 끄지 마세요.
	AUTOSAVING_TITLE_XB1=
		이 게임은 자동 저장 기능을 지원합니다.
	AUTOSAVING_DESC_XB1=
		이 아이콘이 표시되면
		콘솔 전원을 끄지 마세요.
	AUTOSAVING_TITLE_PC=
		이 게임은 자동 저장 기능을 지원합니다.
	AUTOSAVING_DESC_PC=
		이 아이콘이 표시되면
		컴퓨터 전원을 끄지 마세요.

# Main Menu
	MENU_DEBUG=		~디버그~
		[OSHIRO left sideworried]
		{+thought}자, {+OSHIRO}, 이게 마지막 기회야.{+endthought}

		{trigger 0 Oshiro paces}
		
		[OSHIRO right sidesuspicious]
		{+thought}이미 엎질러진 물이야. 손님한테 청소를 시켜?{+endthought}
		{+thought}나 같아도 절대 여기 머무르지 않을 거야.{+endthought}

		{trigger 1 Oshiro paces}
		
		[OSHIRO left sideworried]
		{+thought}아냐, 손님은 아직 여기 있어. 아직 기회는 있다고!{+endthought}

		{trigger 0 Oshiro paces}
		
		[OSHIRO right sidehappy]
		{+thought}프레지덴셜 스위트룸이 관건이야. 분명 마음에 들어 하실 거야!{+endthought}

		{trigger 2 Oshiro falls to ground, spawns dust creatures}
		
		[OSHIRO left sideworried]
		{+thought}정신 차려, {+OSHIRO}!{+endthought}

		{trigger 3 Enter Madeline}
		
		[OSHIRO left nervous]
		거기 계셨군요, {+MS_MADELINE}!
		어서 따라오세요! 거의 다 왔습니다.

	CH3_DIARY=
		{anchor bottom}
		{+MROSHIRO}의 일기장이다.
		이 일기장은 마지막으로 쓴 지 수십 년은 지난 것 같다...
		"오늘은 호텔이 공식적으로 영업을 종료하는 날이다.{n}샬롯은 송별 등산 행사를 위해 직원들을 모았다.{n}우리 대부분은 정상에 가본 적이 없으니까."
		"적절한 작별 인사 같았지만, 막상 떠나야 할 때가 되자,{n}마지막으로 한 번만 더 호텔을 둘러보고 싶었다.{n}그들에게는 나 없이 먼저 올라가라고 했다."
		"전부 잘 정리되어 있는지만 확인하고 나면, 사람들을 따라 올라갈 생각이다..."
		"이곳에서의 시간이 이제 끝이라니, 믿기지 않는다. 이젠 뭘 해야 하지?"
		"마지막으로 하룻밤만 더 머무르자.{n}호텔과 제대로 된 작별 인사를 하는 거야..."

	CH3_OSHIRO_SUITE=
		{anchor bottom}
		[OSHIRO left normal]
		바로 여기입니다, 저희의 수상 경력에 빛나는 프레지덴셜 스위트룸!

		[OSHIRO left worried]
		진정으로, "소박한 사치"의 정의 그 자체라 할 수 있죠.

		[OSHIRO left normal]
		저는 손님이 그 장엄함에 흠뻑 빠질 수 있도록 뒤로 물러나 있겠습니다.
		감동해서 눈물이 나올 정도니까요.

		{trigger 3 Madeline walks around the room and looks around}
		
		[OSHIRO right nervous]
		손님? 어떠신가요?
		
		[MADELINE left sad]
		어... 아름다워요.
		가구가 고급스럽네요...

		[MADELINE left distracted]
		그리고... 방이 정말 넓네요.

		[MADELINE left sad]
		색깔이 우아해요.

		[MADELINE left normal]
		이 방에 정성을 많이 들이신 게 느껴지네요.

		[OSHIRO right worried]
		{*}마음에 들어 하실 줄 알았습니다!{/*}

		[MADELINE left sad]
		네.

		[MADELINE left distracted]
		...
		그래서, 여기서 지붕 위로 올라갈 수 있나요?
		
		[OSHIRO right sideworried]
		{+thought}이 얼간아, 손님이 떠나려 하잖아!{+endthought}
		
		[OSHIRO right nervous]
		아, 어어, 말씀드리는 걸 잊을 뻔했군요...
		손님처럼 귀중한 고객님은 프레지덴셜 스위트룸에 반값에 묵으실 수 있답니다!
		
		[MADELINE left sad]
		전... 머무르고 싶지 않아요.

		{trigger 0 Badeline appears in the mirror}
		
		[OSHIRO right serious]
		부탁입니다, {+MS_MADELINE}.
		하룻밤만이라도 머물러 주세요.
		
		[MADELINE left upset]
		{+MROSHIRO}, 안 그래도 전 이미 다른 길로 많이 샜다구요...

		{trigger 1 Badeline escapes the mirror}
		
		[BADELINE right normal]
		{+MADELINE}, 우리 자기, 이 패배자는 그만 잊어버려.
		
		[OSHIRO left serious]
		패배자...? {silent_trigger 6}
		
		[BADELINE right upset]
		현실을 직시하라고, 아저씨. 
		이 리조트는 {*}{!}쓰레기장{/!}{/*}이야{.3}.

		[BADELINE right yell]
		아무도 {*}{!}절대{/!}{/*} 여기 머무르고 싶지 않을 거야.
		
		[BADELINE right scoff]
		누군가는 솔직히 까놓고 말해야 하지 않겠어?

		{trigger 4 Madeline steps closer to Oshiro}
		
		[MADELINE left sad]
		진심으로 한 말은 아닐 거예요.
		
		[OSHIRO right serious]
		전... 

		[OSHIRO right lostcontrol]
		전 아주 바쁩니다.
		제발 떠나주세요, {+MS_MADELINE}. {silent_trigger 5 Madeline jumps back}
		
		[BADELINE right upset]
		가자, {~}{+MADELINE}{/~}.{n}저 아저씨가 하는 말 들었잖아.

		{trigger 2 Badeline blasts a hole in the ceiling}
		
		[BADELINE left normal]
		나 없었으면 어쩔 뻔했냐?

	CH3_OSHIRO_SUITE_SAD0=
		{anchor bottom}
		[OSHIRO right sideworried]
		{+thought}왜 내 아름다운 호텔을 쓰레기장이라고 하는 거지?{+endthought}

	CH3_OSHIRO_SUITE_SAD1=
		{anchor bottom}
		[OSHIRO right sidesuspicious]
		{+thought}감히 날 모욕하다니.{+endthought}

	CH3_OSHIRO_SUITE_SAD2=
		{anchor bottom}
		[OSHIRO right sideworried]
		{+thought}만약 {+MS_MADELINE}의 말이 사실이라면?{+endthought}

	CH3_OSHIRO_SUITE_SAD3=
		{anchor bottom}
		[OSHIRO right sidesuspicious]
		{+thought}당연히 사실이지. 남의 도움 없이는 청소도 혼자 하지도 못하는 주제에.{+endthought}

	CH3_OSHIRO_SUITE_SAD4=
		{anchor bottom}
		[OSHIRO right lostcontrol]
		{+thought}난 노력했어. 최선을 다했다고!{+endthought}

	CH3_OSHIRO_SUITE_SAD5=
		{anchor bottom}
		[OSHIRO right serious]
		{+thought}{+MS_MADELINE}은 날 돕고 싶었을 뿐이야!{+endthought}

	CH3_OSHIRO_SUITE_SAD6=
		{anchor bottom}
		[OSHIRO right sideworried]
		{+thought}하지만 돕고 싶었던 거라면 왜 저리 쌀쌀맞게 말한 거지?{+endthought}

	CH3_OSHIRO_START_CHASE=
		[BADELINE left normal]
		드디어 저 아저씨한테서 벗어났네.
		너, 나한테 빚진 거야.

		[BADELINE left scoff]
		나중에 꼭 갚으라구.
		
		[MADELINE right upset]
		저리 꺼져.

		{trigger 0 Maddy walks away}
		
		[BADELINE left upset]
		난 네가 {+MOUNTAIN}을 오르기로 {~}정~~말{/~} 단단히 결심한 줄 알았는데 말이야.

		[BADELINE left scoff]
		이제 보니까 갑자기 저 괴짜의 뒤치다꺼리나 하고 계시네?

		{trigger 1 Maddy turns around}
		
		[MADELINE right angry]
		저리 꺼지라고!

		{trigger 2 Oshiro enters}
		
		[OSHIRO left serious]
		{+MS_MADELINE}, 떠나시기 전에...
		한 가지만 여쭤봐도 될까요...?
		
		[OSHIRO left serious]
		어차피 떠나실 거면서, 왜 저에게 잘해주신 거죠?
		제가 잘못한 거라도 있나요?
		
		[BADELINE right scoff]
		아, 진짜 눈치 더럽게 없네. 아직도 모르겠냐?

		[BADELINE right upset]
		쟨 그냥 자신의 뒤틀린 자아를 만족시키려고 사람들을 돕는 것뿐이야.
		
		[BADELINE right yell]
		너 같은 놈은 {*}신경 쓴 적도{/*} 없다고!
		
		[MADELINE right angry]
		닥쳐! 
		
		[MADELINE right sad]
		전 도와드리고 싶었을 뿐이에요.
		
		[BADELINE right scoff]
		둘 다 한심하기 짝이 없네.

		{trigger 3 Badeline disappears, Oshiro gets angry}

		[OSHIRO left lostcontrol]
		한심하다고!?
		날 놀려먹으려고 온 거였구나...
		네 발밑에서 조아리는 것도 이제 끝이야!

	CH3_OSHIRO_CHASE_END=
		{anchor top}
		[MADELINE right surprised]
		{+MROSHIRO}, 멈춰요!

		{trigger 0 Oshiro slams the roof below their feet and it begins shaking}
		
		[MADELINE right surprised]
		전 도와드리고 싶었을 뿐이에요!

	CH3_ENDING=
		[OSHIRO left serious]
		...
		셀레스티얼 리조트 호텔은 수리를 위해 잠시 휴업하기로 했습니다.
		2층 배수관에선 물이 새고 있고...
		...도서관은 완전히 엉망진창이고...
		...프레지덴셜 스위트룸 천장에 난 구멍은 말할 것도 없죠.

		{trigger 0 Turn and pause, turn back}

		[OSHIRO left serious]
		부탁입니다, 저를 내버려 두세요.

# *** Chapter 04 ***

	CH4_GRANNY_1=
		[MADELINE left upset]
		아... 또 보네요?

		{trigger 3 zoom in}
		
		[GRANNY right normal]
		이런, 이런. 이런 곳에서 널 다시 볼 줄은 꿈에도 몰랐는걸!
		어디 다친 곳 하나 없이 멀쩡하다니 정말 다행이구나.
		호텔을 지나서 온 거 같은데, {+MROSHIRO}는 만났니?

		{trigger 4 maddy turns around}
		
		[MADELINE left upset flip]
		아, 네. 만났어요.
		절 쥐 잡듯이 내쫓아 버리던데요.
		제가 잡동사니를 전부 치워드렸는데 말이에요.

		{trigger 0 Start Laughing}
		
		[GRANNY right laugh]
		오{.2} 호{.2} 호,{.2} 정말 재미있는 아침이었겠구나.

		{trigger 1 Stop Laughing}
		
		[GRANNY right normal]
		{+OSHIRO}는 길 잃은 영혼이란다, 아가야.
		그 호텔은 말이야, 그에게는 단순한 호텔 그 이상의 가치가 있는 곳이지.
		{+MROSHIRO}한테 너무 나쁜 감정 가지지 말어.

		{trigger 5 maddy approaches}
		
		[MADELINE left angry]
		지금 제가 무슨 생각 하고 있는지 아세요?
		이 {+MOUNTAIN}이 그 아저씨랑 할머니 둘 다 미치게 만든 거 같아요.

		{trigger 2 Wait a beat}
		
		[GRANNY right normal]
		얘, 그거 아니? 그 말을 한 게, 네가 처음이 아니란다.

		{trigger 0 Start Laughing}
		
		[GRANNY right laugh]
		어쩌면 네 말이 맞을지도 모르지.
		내가 정말로 미쳤다면, 내가 미쳤다는 걸 내가 어떻게 알겠어?

		{trigger 1 Stop Laughing}
		
		[GRANNY right normal]
		하지만 이 할미가 보기에는, 이 {+MOUNTAIN}이라고 해서,{n}네 안에 원래 없던 걸 끄집어내진 못할 게다.

		{trigger 0 Start Laughing}
		
		[GRANNY right laugh]
		하지만 애초에 이런 곳에서 살려면, {n}머리에 나사 몇 개쯤은 빠져 있어야겠지, 안 그러니?

		{trigger 2 Wait a beat}
		
		[MADELINE left upset]
		지금 무슨 소릴 하시는 거예요?

		{trigger 1 Stop Laughing}
		
		[GRANNY right mock]
		아, 나 같은 할망구나 할 법한 헛소리지 뭐.

		[GRANNY right normal]
		그래서 포기할 셈이야?{n}네 차로 돌아가는 지름길을 알고 있는데.

		{trigger 6 Maddy walks past granny}
		 
		[MADELINE right upset flip]
		그만해요, 할머니.
		전 정상에 올라갈 거예요.
		
		[GRANNY left normal flip]
		때때론 고집과 결단의 차이를 구분하기가 쉽지는 않지, 그렇지?
		널 보니 내가 젊었을 때가 생각나는구나.

		{trigger 0 Start Laughing}

		[GRANNY left laugh flip]
		행운을 비마. 그리고 바람이 세게 부니까 조심하거라!

	CH4_GRANNY_2=
		[MADELINE left upset]
		이런 외진 곳에 사니까, 다른 사람은 거의 못 만나는 거 아니에요?

		[GRANNY right normal]
		그래, 거의 못 만나지.
		하지만 혼자 지내는 것도 그리 나쁘진 않아.

		[MADELINE left distracted]
		가끔은 저도 혼자 살아가야 하나 싶어요.

		[MADELINE left sad]
		전 {+MROSHIRO}를 이해하려고 정말 노력했어요.{n}도와 드리고 싶었다고요.

		[GRANNY right normal]
		{+OSHIRO}는 호텔에 대한 집착을 버려야 해.
		하지만 그게 네가 끼어든다고 해서 되는 일은 아니란다.
		억지로 친절을 베풀어봤자, 오히려 역효과야.

		[MADELINE left distracted]
		...

	CH4_GRANNY_3=
		[MADELINE left sad]
		그 작은 오두막에서 혼자 지내시면 외롭진 않나요?

		[GRANNY right normal]
		얘, 나도 친구 있어.

		[GRANNY right mock]
		내가 미쳤을지는 몰라도, 외톨이는 아니란다.

		[MADELINE left distracted]
		아... 죄송해요.
		그런 뜻으로 말한 건 아니었어요.

		[GRANNY right normal]
		내가 젊었을 적에는, 이렇게 한 곳에서 오랫동안 머무르는 건 상상도 못 할 일이었지.
		그러다 우연히 이 {+MOUNTAIN}을 찾은 거야.
		이 {+MOUNTAIN}을 보자마자, 여기가 내 안식처가 될 거란 걸 바로 깨달았지.

		[MADELINE left sad]
		여기가 뭐가 그리 특별한데요?

		[GRANNY right normal]
		{+MOUNTAIN}은 너의 진정한 모습을 보여준단다.
		네가 준비되어 있든 아니든.
		그 점이 나 자신을 솔직하게 만들어주지.

	CH4_GONDOLA=
		{anchor top}
		[UNKNOWN]
		{+MADELINE}! 기다려!

		{trigger 0 Enter Theo from above, he falls and lands on the ground face-down}
		
		[THEO left nailedit]
		{%}{*}해 냈 다.{/*}{/%}

		{trigger 1 Check on Theo}
		
		[MADELINE right sad]
		{+THEO}! 괜찮아?
		
		[THEO left nailedit]
		윽. 어, 괜찮아.
		잠깐 숨 좀 돌리고.

		{trigger 2 Theo gets up}
		
		[THEO left excited]
		케이블카잖아! 예전부터 이런 거 한번 타 보고 싶었는데.
		
		[MADELINE right sad]
		꽤 낡아 보이는 것 같긴 한데, 아직 작동할지도 몰라.
		
		[MADELINE right distracted]
		이 케이블카 말곤 이 협곡을 건널 다른 방법도 없는 거 같고.
		
		[THEO left excited]
		그럼 한번 타 보자!

		{trigger 3 Look at Lever}
		
		[THEO right normal]
		이 레버, 꽤 중요해 보이는데.

		{trigger 4 Pull Lever}
		
		[THEO right normal]
		식은 죽 먹기네.

		[THEO right thinking]
		난 아마 전생에 케이블카 조종사였을 거야.

		[MADELINE left distracted]
		이거... 안전할까?

		[THEO right normal]
		괜찮을 거야.

		{trigger 5 Wait a bit}

		[THEO right normal]
		{+OSHIRO}랑은 어떻게 됐어?

		[MADELINE left sad]
		네 말이 맞았어.

		[MADELINE left distracted]
		도와주려 하지 말았어야 했는데.

		[THEO right thinking]
		그러게, 내가 너한테 같이 나가자고 몇 번을 말했는데...

		[MADELINE left upset]
		그래, 그래...
		네 말을 들었어야 했는데.

		[THEO right normal]
		적어도 다친 곳은 없잖아. 그럼 된 거지, 뭐.
		
		{trigger 5 Wait a bit}
		
		[MADELINE left sad]
		여긴 공기가 너무 희박해.

		[MADELINE left distracted]
		숨쉬기가 힘들어.

		{trigger 6 Wait for gondola to reach center}
		
		[THEO right excited flip]
		그래, 이걸 타고 셀카 찍지 않으면 우리 평생 후회할 거야.

		[MADELINE left distracted flip]
		안개에 가려져서 땅이 보이지도 않아...
		우리 얼마나 높이 올라온 걸까?

		[THEO right thinking flip]
		너무 불안해하지 말고, 같이 셀카나 찍자.

		{trigger 7 Seflie, then gondola stalls out and badeline appears}
		{anchor bottom}
		
		[MADELINE left surprised]
		방금 뭐였지?
		
		[THEO right wtf flip]
		허. 이거 멈춰버린 거 같은데.

		{trigger 8 Madeline moves left}
		
		[MADELINE left sad]
		이거 느낌이 안 좋은데...

		[THEO right wtf]
		혹시 이걸 다시 당기면...

		{trigger 9 lever snaps off}
		
		[THEO right worried]
		아, 망했네.

		{trigger 10 tentacles appear}
		
		[MADELINE left panic]
		정말 느낌이 안 좋아.

		{trigger 11 tentacles grow}
		
		[THEO right worried]
		{+MADELINE}, 괜찮아?

		[MADELINE left panic]
		응... 그냥 좀...

		{trigger 12 Maddy can't breathe}

		[MADELINE left panic]
		아니, 안 괜찮아.
		숨을 못 쉬겠어.
		
		[THEO right serious]
		지금 그거 공황 발작 증상이야.

		[MADELINE left angry]
		그러게 왜 이딴 구닥다리 케이블카를 타자고 한 거야?

		[THEO right thinking]
		워, 워. 나한테 화풀이하지 말고.

		[THEO right serious]
		진정하고 내 말 좀 들어 봐.
		우리 할아버지가 이런 상황에 대비해서 알려주신 방법이 있어.
		눈 감아 봐.

		{trigger 13 Play breathing minigame}
		
		[THEO right normal]
		거봐, 식은 죽 먹기라니까.

		{trigger 14 Gondola continues to the end station}

		{anchor top}
		
		[THEO left normal]
		이제 좀 괜찮아졌어?
		
		[MADELINE right distracted flip]
		그런 거 같아. 진정시켜줘서 고마워.

		{trigger 15 Wait a bit}
		
		[MADELINE right sad flip]
		케이블카가 다시 작동할 거라는 건 어떻게 안 거야?
		
		[THEO left normal]
		어... 솔직히 말하면, 난 이제 우린 끝장이라고 생각했는데.

		{trigger 16 Theo takes out phone}
		
		[THEO left excited]
		와. 대. 박.
		{silent_trigger 17 Maddy faces theo}
		이 셀카 좀 봐!

	CH4_GONDOLA_FEATHER_1=
		네 눈앞에 깃털 하나가 둥둥 떠 있다고 상상해 봐.

	CH4_GONDOLA_FEATHER_2=
		상상했어?

	CH4_GONDOLA_FEATHER_3=
		응.
	
	CH4_GONDOLA_FEATHER_4=	
		이제 네 호흡으로 그 깃털이 계속 떠 있을 수 있게 호흡을 조절하는 거야.

	CH4_GONDOLA_FEATHER_5=
		천천히... 들이쉬고... 내쉬고...

# *** Chapter 05 ***

	CH5_ENTRANCE=
		[THEO right excited flip]
		우와, 여기 좀 봐!
		모험가의 피를 들끓게 하는 곳 같지 않아?

		{trigger 0 Maddy turns right}

		[MADELINE left sad]
		음, 난 잘 모르겠어.
		안이 꽤 어두워 보이는데...

		[MADELINE left distracted]
		모험이라긴 보단 악몽...에 가까운 거 같아.

		{trigger 1 Theo turns left}
		
		[THEO right normal]
		난 잠시 좀 둘러보고, 사진 몇 장 찍을게.

		{trigger 1 Theo turns right}

		[THEO right excited flip]
		여긴 어제 갔던 유적보다도 훨씬 더 오래된 거 같은데!

		[MADELINE left sad]
		{+THEO}, 기다려.
		
		[THEO right excited flip]
		여기 사진을 찍어서 {+INSTAPIX}에 올리면 내 팔로워들이 환장할 거야.

		{trigger 2 Theo leaves}
		
		[MADELINE left distracted]
		왠지 안 좋은 예감이 드는데...

	CH5_PHONE=
		[MADELINE left sad]
		어...

		{trigger 0 Maddy walks to phone, ducks to pick it up}

		[MADELINE left distracted]
		이건 {+THEO} 폰이잖아...

		{trigger 1 Maddy stands back up}

		[MADELINE left determinedclosed]
		진정해, {+MADELINE}.
		그냥 실수로 주머니에서 흘린 걸 거야.
		나중에 만나면 돌려주면 돼.

	CH5_THEO_MIRROR=
		[MADELINE left normal]
		{+THEO}! 거기 있었구나!
		
		[THEO_MIRROR right excited]
		여, {+MADELINE}!
		
		[THEO_MIRROR right wtf]
		...근데, 너 왜 거울 안에 있는 거야?
		
		[MADELINE left sad]
		거울 안에 있는 건 내가 아니라 너잖아.
		무슨 일이 있었던 거야?
		
		[THEO_MIRROR right wtf]
		그게, 평소처럼 거울 셀카를 찍고 있었어.
		왜, 이런 거 있잖아. {~}{# AAAAAA}"여러분 안녕, {+THEO}야.{# AAAAAA}{n}별 건 아니고 이런 고대 신전에 왔어."{#}{/~}

		[THEO_MIRROR right thinking]
		{# FFFF9B}\#이런_게_바로_진짜_성지순례{#}
		
		[THEO_MIRROR right serious]
		...라는 느낌이었는데, 정신을 차려 보니까 내가 바닥에 쓰러져 있더라고.
		
		[MADELINE left sad]
		그쪽에서 뭐 보이는 거 없어?
		거기서 널 어떻게 꺼내지?
		
		[THEO_MIRROR right serious]
		그러니까, 여긴... 정말 어둡고 이상해. 뭐가 보이냐면...
		
		[THEO_MIRROR right wtf]
		잠깐, 뭔가 다가오고 있어.
		빨리 도망쳐야 할 거 같은데.
		
		[THEO_MIRROR right serious]
		조심해야 해, 알았지?

	CH5_SHADOW_MADDY_0=
		[MADELINE left angry]
		{*}야!{/*} 도대체 여긴 어디야?
		{!}{+THEO}한테 무슨 짓을 한 거야?{/!}
		
		[BADELINE right scoff]
		설마 이게 {~}내가{/~} 한 짓이라 생각하는 거야?
		귀여워라.
		
		[BADELINE right upset]
		자기야, 내가 경고했던 게 바로 이거야.
		
	CH5_SHADOW_MADDY_1=
		[MADELINE left angry]
		내 탓 하지 마!

		[BADELINE right scoff]
		아직도 모르겠어?

		[BADELINE right upset]
		이 {+MOUNTAIN}이 내게 이 몸을 줬지.

		[BADELINE right scoff]
		하지만 네 머릿속에 있는 {*}기분 나쁜 존재{/*}가 나 하나뿐인 건 아냐.

		[BADELINE right normal]
		설마 네 눈앞에 보이는 것들이 마음에 들지 않는 거야?

		[BADELINE right scoff]
		{~}놀랍기도 해라.{/~}
		
		[MADELINE left angry]
		닥쳐!

		[BADELINE right angry]
		난 널 막으려고 몇 번이나 {~}노력{/~}했는데?

		[BADELINE right yell]
		거울을 들여다봐. 거울 속에 있는 모든 존재가 다 네 안에서 나온 거라고.

		[BADELINE right angry]
		이 신전은 {+MOUNTAIN}의 힘을 증폭시킬 뿐이야.

		[BADELINE right upset]
		이 신전을 제어하는 건 내가 아니라, 바로 너라고.

	CH5_SHADOW_MADDY_2=
		[MADELINE left sad]
		내가 네 말을 어떻게 믿지?

		[MADELINE left distracted]
		네가 {+PART_OF_ME}라면, 왜 날 해치려는 거야?

		[BADELINE right angry]
		불쌍하신 {+MADELINE}님,{n}{~}항상 자기가 피해자라고 하시네요.{/~}

		[BADELINE right yell]
		난 널 지켜주려고 했던 것뿐인데, {trigger 0 Badeline appears in the mirror}넌 그걸 가지고 날 미워하잖아.

		[BADELINE right angry]
		넌 무너지고 있다고, 너 스스로도 잘 알고 있잖아!

		[MADELINE left angry]
		그렇게 날 보호하고 싶다면,{n}왜 나한테 이 상황을 {*}설명{/*}하지 않은 건데?
		
		[BADELINE right angry]
		어이가 없네, 네가 내 말을 듣기나 했냐?
		설명할 기회조차 준 적도 없으면서.

	CH5_SHADOW_MADDY_3=
		[MADELINE left panic]
		제발, 여길 빠져나갈 수 있게 도와줘.

		[BADELINE right scoff]
		{~}이제 와서{/~} 나한테 도와달라고 하는 거야?

		[MADELINE left panic]
		나한테 왜 이러는 거야?
		내 편이 되어 줘.
		제발...

		[BADELINE right angry]
		날 괴물처럼 취급하지 마.
		너 {~}정말로{/~} 내가 널 돕지 않는 이유를 알고 싶어?

		[BADELINE right yell]
		넌 그래도 {*}싸니까.{/*}

		[MADELINE left panic]
		...

		[BADELINE right angry]
		너, 아직도 {~}이 {+MOUNTAIN}을 오를 수 있을 거라 생각하는 거야?{/~}

		[MADELINE left angry]
		{*}입 닥쳐!{/*}

		{trigger 0 Badeline Leaves}

		[MADELINE left angry]
		{*}네 도움 따윈 필요 없어.{/*}
		스스로의 힘으로도 해낼 수 있어.

	CH5_REFLECTION=
		[MADELINE right sad]
		정말 이게 다 내 머릿속에서 나온 거라면,{n}왜 이렇게 나한테 적대적인 거지?
		
		[MADELINE right distracted]
		{*}저 괴물들{/*}은 날 사냥하고 있어.
		나는 나 스스로에게 침입자로 취급받는 걸까?

		{trigger 0 Madeline falls to knees}
		
		[MADELINE right panic]
		{+THEO}는 나 때문에 여기 어딘가에 갇혀 있어.
		내가 완전히 포기한다면, 신전이 {+THEO}를 놓아줄지도 몰라...

		{trigger 1 Madeline stops panicking}

		[MADELINE_MIRROR left determinedclosed flip]
		...
		심호흡하자.
		
		[MADELINE_MIRROR left determined flip]
		이건 다 내 안에서 나온 거야.
		포기하지 마, {+MADELINE}.

		{trigger 2 Madeline gets up}

		[MADELINE_MIRROR left determinedclosed flip]
		깃털을 떠올려.
		넌 {+THEO}를 구할 수 있어.

	CH5_SEE_THEO=
		[MADELINE left normal]
		{+THEO}! 거기 있었구나!
		
		[THEO right excited]
		{+MADELINE}! 와, 다시 만나서 진짜 반갑다.

		{trigger 0 zoom in}

		[MADELINE left sad]
		괜찮아?
		
		[THEO right serious]
		어, 괜찮아.	

		[THEO right thinking]
		그냥 이 수정 안에... 한참 동안 갇혀 있었을 뿐이지.

		[THEO right wtf]
		뭔가 이 장소... 나에 대해 나 자신보다 더 잘 알고 있는 거 같아.
		
		[MADELINE left distracted]
		맞아...
		나의 이런 모습을 너에게 보여주게 되다니, 부끄럽네...

		[MADELINE left upset]
		그러니까 내가 기다리라고 했잖아!
		그놈의 셀카가 네 안전까지 팔아먹을 정도로 가치 있는 거냐고!

		[THEO right yolo]
		셀카는 항상 가치 있는 거야, 짜샤.

		[MADELINE left distracted]
		그래, 내가 화를 내면 안 되겠지. 네 잘못이 아니니까.

		[MADELINE left sad]
		무사해서 다행이야, 하지만 나 때문에 네가 그 수정 안에 갇힌 거잖아.

		{trigger 1 Madeline turns around}

		[MADELINE left distracted flip]
		이 신전은 내 본모습을 보여주고 있어.
		난 글러 먹은 인간인가 봐...

		{trigger 2 wait a bit}

		[THEO right thinking]
		야, 우린 한 배에 탄 몸이라고.

		[THEO right wtf]
		전부 네 탓으로 돌리지 마.

		{trigger 3 Madeline turns back, zoom out, room gets brighter}

		[MADELINE left sad]
		그게 무슨 뜻이야?

		[THEO right wtf]
		날 이 수정 안에 가둔 건 네가 아냐.
		물론, 저 괴물들은 너에게서 나온 게 맞지만,{n}이 신전은 내 자아에 의해서도 변하고 있어.

		[THEO right worried]
		{*}느낄 수 있어.{/*}
		저 {~}눈깔들{/~}이 날 쳐다보고 있다고...

		[THEO right wtf]
		그리고, 이 수정은 나한테서 나온 거야. 그거 하난 확실해.

		[THEO right serious]
		부탁하기는 싫지만, 지금 네 도움이 정말 필요하거든.

		{trigger 0 zoom back in}

		[MADELINE left sad]
		...
		
		[MADELINE left distracted]
		알았어.

		[MADELINE left normal]
		나만 믿어.
		널 거기서 꺼내줄게. 그리고 함께 탈출하는 거야.

		[MADELINE left sad]
		너한테 가는 길만 찾으면...
		
		[THEO right serious]
		{+MADELINE}, 네가 내 유일한 희망이야.
		난 널 믿어, 진심으로.

		[MADELINE left distracted]
		그 말, 후회하지 않았으면 좋겠네...

	CH5_SEE_THEO_B=
		[MADELINE left distracted]
		신전이 내 본모습을 보여주는 거라면...

		[MADELINE left sad]
		...난 이렇게 돼도 싸지 않을까?

		[THEO right wtf]
		{+ALEX}, 너무 스스로에게 엄격하게 굴지 마.

		[MADELINE left sad]
		...
		{+ALEX}가 누구야?

		[THEO right thinking]
		미안, {+MADELINE}(이)라고 한다는 게, 말실수를 했네.

		[THEO right wtf]
		하여간 내 의견은 그대로야.
